"path","type","class","length","dim","is_list_like","preview"
"<root>","list","ssi_run|list",4,NA,TRUE,NA
"<root>$meta","list","list",11,NA,TRUE,NA
"<root>$meta$timestamp","character","character",1,NA,FALSE,"""2025-09-04_14-49-12"""
"<root>$meta$niter","double","numeric",1,NA,FALSE,"5"
"<root>$meta$nscen","integer","integer",1,NA,FALSE,"60L"
"<root>$meta$seed_mode","character","character",1,NA,FALSE,"""reproducible"""
"<root>$meta$seed_strategy","character","character",1,NA,FALSE,"""per_scenario_iter"""
"<root>$meta$seed_list","integer","integer",5,NA,FALSE,"1:3 … (2 more)"
"<root>$meta$parallel","logical","logical",1,NA,FALSE,"TRUE"
"<root>$meta$workers","integer","integer",1,NA,FALSE,"4L"
"<root>$meta$plan","character","character",3,NA,FALSE,"c(""future::plan"", ""future::multisession"", ""workers"")"
"<root>$meta$params_spec","character","character",1,NA,FALSE,"""Ohlberger"""
"<root>$meta$output_dir","character","character",1,NA,FALSE,"""/Users/gordonholtgrieve/RPackages/SizeShiftsImplicationsV2/outputs"""
"<root>$parameters","list","list",12,NA,TRUE,NA
"<root>$parameters$nyi","double","numeric",1,NA,FALSE,"10"
"<root>$parameters$nyh","double","numeric",1,NA,FALSE,"50"
"<root>$parameters$ny","double","numeric",1,NA,FALSE,"110"
"<root>$parameters$goalfreq","double","numeric",1,NA,FALSE,"10"
"<root>$parameters$firstrev","integer","integer",1,NA,FALSE,"20L"
"<root>$parameters$review_years","double","numeric",9,NA,FALSE,"c(30, 40, 50) … (6 more)"
"<root>$parameters$hist_end_year","double","numeric",1,NA,FALSE,"60"
"<root>$parameters$rng_kind","character","character",1,NA,FALSE,"""[1] \""Mersenne-Twister\"" \""Inversion\""        \""Rejection\""       """
"<root>$parameters$blas_threads","integer","integer",1,NA,FALSE,"1L"
"<root>$parameters$pkg_version","character","character",1,NA,FALSE,"""0.0.0.9000"""
"<root>$parameters$timestamp","character","character",1,NA,FALSE,"""2025-09-04 14:49:12"""
